true\pred,accipiter_gentilis,alcedo_atthis,anas_platyrhynchos,athene_noctua,buteo_japonicus,capreolus_capreolus,caprimulgus_jotaka,cettia_diphone,ciconia_boyciana,columba_livia,corvus_corone,egretta_garzetta,emberiza_schoeniclus,falco_tinnunculus,grus_japonensis,hydropotes_inermis,hydroprogne_caspia,melanitta_fusca,motacilla_alba,nycticorax_nycticorax,parus_minor,passer_montanus,phalacrocorax_carbo,pica_pica,pica_serica,streptopelia_orientalis,tachybaptus_ruficollis,tadorna_tadorna,turdus_naumanni,zosterops_japonicus
accipiter_gentilis,24,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
alcedo_atthis,0,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anas_platyrhynchos,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0
athene_noctua,1,0,0,19,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0
buteo_japonicus,3,0,1,0,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capreolus_capreolus,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
caprimulgus_jotaka,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cettia_diphone,1,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ciconia_boyciana,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
columba_livia,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
corvus_corone,0,0,0,0,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
egretta_garzetta,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
emberiza_schoeniclus,0,0,0,1,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falco_tinnunculus,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0
grus_japonensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
hydropotes_inermis,0,0,1,0,0,7,0,0,1,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hydroprogne_caspia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
melanitta_fusca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
motacilla_alba,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,2,0
nycticorax_nycticorax,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,22,0,0,1,0,0,0,0,0,1,0
parus_minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,1,4,0,0,0,0,0
passer_montanus,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
phalacrocorax_carbo,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,2,0,0,18,0,0,0,0,0,1,0
pica_pica,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0
pica_serica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,2,8,0,0,0,1,0
streptopelia_orientalis,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0
tachybaptus_ruficollis,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,0,0,0
tadorna_tadorna,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,13,0,0
turdus_naumanni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0
zosterops_japonicus,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25
